"merge_id","category","arms","lane","ruling","unit_rollup","rationale"
"sander2798_enderstone__b515bac1b0","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] theirs pruned org.enderstone.server.EnderLogger import; ours kept 2 uses; merged retains 1 uncovered → compile error. Dev kept the import (dev≠merged) — mergiraf-only. Fork-twin of sandergielisse__b515bac1b0 (same merge SHA, distinct census unit)."
"sandergielisse_enderstone__9d0d7b7ba8","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] Symmetric double prune: RegionSet (ours' import, theirs pruned) + PacketOutPlayerAbilities (theirs' import, ours pruned); merged keeps 3+1 uses with both imports gone → compile errors. Dev kept both (dev≠merged) — mergiraf-only breakage. EXCLUDED FROM CITABLE COUNTS 2026-09-05 (ruling unchanged): byte-identical to derivation unit sander2798_enderstone__9d0d7b7ba8 = S-D1 spec row 37 (D1, RegionSet), so not held out by content."
"sandergielisse_enderstone__b515bac1b0","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] Same facts as sander2798_enderstone__b515bac1b0 (fork twin): EnderLogger import pruned by theirs, ours' use survives uncovered. Dev≠merged — mergiraf-only. CAUSAL per convention. EXCLUDED FROM CITABLE COUNTS 2026-09-05 (ruling unchanged): same merge commit as sander2798_enderstone__b515bac1b0, counted once."
"steveice10_mcprotocollib__8a7d7b196b","stale-usage-of-pruned-import","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] Three files, one mechanism: theirs' uses (IntFunction / LongMetadataType / LongEntityMetadata) survive while the covering imports were pruned; two files verified uncovered in merged (MinecraftCodecHelper.java: function imports retain ToIntFunction but NOT IntFunction at L784; ClientboundSetEntityDataPacketTest.java) → compile errors. AMENDED 2026-09-05: the committed text was the pre-refinement draft; commit e62f7cc had already corrected the MetadataType.java sub-flag to a same-package FP (the unit stays CAUSAL on the other two files, as FINDINGS §3 reports). Note: the IntFunction message credits the palette.* wildcard as the source — provenance imprecise, operative uncovered-name claim verified correct. Dev-identical ×3; CAUSAL per convention."
"vojtechhabarta_typescript-generator__51835d3c16","stale-reference-to-renamed-or-relocated-declaration","experimental","ImportPruneUsage","CAUSAL","CAUSAL","[accepted Claude draft] theirs migrated JUnit Assert away (relocation — matches the renamed-or-relocated label), pruning org.junit.Assert; ours' kept usage survives at L177 uncovered → compile error. D1 catches the relocation through its import-prune lens — cross-category but the same breakage. Dev-identical; CAUSAL per convention."
"ahome-it_lienzo-core__bf4b253816","stale-reference-to-renamed-or-relocated-declaration","baseline+experimental","JoernUnresolvedReference","CAUSAL","CAUSAL","[accepted Claude draft] Field rename innerLayoutContainer→m_innerLayoutContainer (theirs) half-applied: ours-added onShapeResizeEnd keeps 1 bare old-name read; merged declares only m_-name → unresolved = compile error. Consistent with the Stage-C §4.6 CAUSAL ruling on this same merge. Dev-identical; CAUSAL per convention."
"ahome-it_lienzo-core__bf4b253816","stale-reference-to-renamed-or-relocated-declaration","baseline+experimental","RM2RenameConflict","CAUSAL","CAUSAL","[accepted Claude draft] Field rename innerLayoutContainer→m_innerLayoutContainer (theirs) half-applied: ours-added onShapeResizeEnd keeps 1 bare old-name read; merged declares only m_-name → unresolved = compile error. Consistent with the Stage-C §4.6 CAUSAL ruling on this same merge. Dev-identical; CAUSAL per convention."
"erudika_para__a9e67cc8b3","overlapping-edit-interleaving","baseline+experimental","JoernUnresolvedReference","CAUSAL","CAUSAL","[accepted Claude draft] Variable rename m→method half-applied by interleaved edits; merged keeps 1 bare 'm' read at L109 with no declaration → compile error. Unit label frames the damage as overlapping-edit-interleaving; the flag identifies the concrete break it produced. Consistent with the Stage-C §4.6 CAUSAL ruling on this merge (pilot + full)."
"erudika_para__a9e67cc8b3","overlapping-edit-interleaving","baseline+experimental","RM2RenameConflict","CAUSAL","CAUSAL","[accepted Claude draft] Variable rename m→method half-applied by interleaved edits; merged keeps 1 bare 'm' read at L109 with no declaration → compile error. Unit label frames the damage as overlapping-edit-interleaving; the flag identifies the concrete break it produced. Consistent with the Stage-C §4.6 CAUSAL ruling on this merge (pilot + full)."
"jcabi_jcabi-github__27cc460e3c","stale-reference-to-renamed-or-relocated-declaration","baseline+experimental","RM2RenameConflict","CAUSAL","CAUSAL","[accepted Claude draft] theirs renamed static helper gist()→github(); ours added test methods still calling gist(); merged keeps callers (L82 RtGistITCase.gist()) with NO gist() declared (verified: only github() present) → compile error. Dev-identical; CAUSAL per convention."
"jenkinsci_email-ext-plugin__bbf162f5d5","insertion-anchored-to-relocated-code","baseline+experimental","JoernUnresolvedReference","CAUSAL","CAUSAL","[accepted Claude draft] Merge spliced ours' instance-field block (mailAccount writes + getAdminAddress() call) INTO theirs' new static autoConfigure() — instance access in static context = compile errors (Joern: implicit 'this' unresolvable; theirs' own body was descriptor-qualified and clean; verified by body diff). Exactly the labeled insertion-anchored-to-relocated-code damage. Dev-identical; CAUSAL per convention."
"scribble_scribble-java__e72f7c9c06","indeterminate","baseline+experimental","RM2RenameConflict","DETECTOR-FP","","[accepted Claude draft] RM2 read theirs' PARTIAL split as a rename, but checkAndAddNoArgUniqueFlag is STILL DECLARED in merged (verified: private void checkAndAddNoArgUniqueFlag(String) present); both names coexist with 4 callers each — code compiles. RM2Rename call-lane misread (name-level granularity limit). Label indeterminate is consistent."
